PRISM Time Series Data,
1930-02,24.3
1930-03,32.4
1930-04,43.1
1930-05,58.8
1930-06,69
1930-07,69.7
1930-08,67.3
1930-09,63.9
1930-10,48.7
1930-11,39.1
1930-12,26.7
1931-01,20.1
1931-02,22.7
1931-03,34.3
1931-04,46.7
1931-05,57.8
1931-06,66.1
1931-07,72.4
1931-08,67.6
1931-09,63.8
1931-10,51.6
1931-11,43.6
1931-12,28.9
1932-01,31.8
1932-02,24.9
1932-03,28.1
1932-04,42.1
1932-05,58.1
1932-06,64.7
1932-07,67.6
1932-08,68
1932-09,60.9
1932-10,51.3
1932-11,36
1932-12,29.4
1933-01,30.8
1933-02,26.4
1933-03,30.2
1933-04,46.6
1933-05,59.6
1933-06,68.6
1933-07,72.6
1933-08,68.5
1933-09,63.1
1933-10,48.4
1933-11,31.5
1933-12,21.4
1934-01,21.9
1934-02,9.1
1934-03,28.8
1934-04,45.6
1934-05,59
1934-06,67.8
1934-07,72.4
1934-08,65.3
1934-09,64.1
1934-10,46.7
1934-11,41.2
1934-12,22.6
1935-01,16
1935-02,21.6
1935-03,33.5
1935-04,45
1935-05,53.2
1935-06,65.3
1935-07,72.3
1935-08,69.2
1935-09,58
1935-10,49.9
1935-11,40.8
1935-12,21.4
1936-01,19.3
1936-02,16.3
1936-03,38.6
1936-04,42.8
1936-05,60.1
1936-06,66.9
1936-07,71
1936-08,68.9
1936-09,61.2
1936-10,49.4
1936-11,33.6
1936-12,28.4
1937-01,29.3
1937-02,27.1
1937-03,27.6
1937-04,43.2
1937-05,58.5
1937-06,66
1937-07,70.7
1937-08,71.7
1937-09,58.9
1937-10,47.6
1937-11,37.9
1937-12,24.2
1938-01,19.5
1938-02,25.8
1938-03,36.2
1938-04,48.4
1938-05,55
1938-06,66.4
1938-07,70.4
1938-08,71.3
1938-09,57
1938-10,51.8
1938-11,39.6
1938-12,26.9
1939-01,20.8
1939-02,23.5
1939-03,27
1939-04,40.5
1939-05,58.9
1939-06,65.6
1939-07,69.9
1939-08,71.4
1939-09,60.9
1939-10,48.6
1939-11,34.1
1939-12,26
1940-01,14.3
1940-02,20.6
1940-03,25.5
1940-04,40.2
1940-05,57.4
1940-06,63.4
1940-07,68.9
1940-08,65.8
1940-09,58.7
1940-10,45.2
1940-11,36.8
1940-12,26.7
1941-01,18.3
1941-02,22.6
1941-03,26.5
1941-04,51.6
1941-05,59.2
1941-06,67.3
1941-07,71.8
1941-08,66.5
1941-09,61.8
1941-10,49.5
1941-11,41.1
1941-12,27.5
1942-01,21.1
1942-02,19
1942-03,36.6
1942-04,48.3
1942-05,59.9
1942-06,65.8
1942-07,69.4
1942-08,67.2
1942-09,60.6
1942-10,51.2
1942-11,38.2
1942-12,21.5
1943-01,16.9
1943-02,22.4
1943-03,30.2
1943-04,38.7
1943-05,56.3
1943-06,70.7
1943-07,71
1943-08,67.8
1943-09,59.4
1943-10,50.2
1943-11,35.7
1943-12,20.9
1944-01,23.2
1944-02,21.5
1944-03,27.6
1944-04,40.8
1944-05,62.6
1944-06,66.3
1944-07,71.3
1944-08,70.8
1944-09,62.3
1944-10,48.4
1944-11,38.2
1944-12,22
1945-01,12.7
1945-02,23
1945-03,42.2
1945-04,50.2
1945-05,53.9
1945-06,64.6
1945-07,69.3
1945-08,68
1945-09,63.8
1945-10,48.2
1945-11,38.7
1945-12,19.2
1946-01,21.2
1946-02,18.7
1946-03,42.1
1946-04,43.6
1946-05,54.4
1946-06,63.5
1946-07,69.4
1946-08,64.6
1946-09,63
1946-10,52.5
1946-11,40.6
1946-12,26.4
1947-01,22.9
1947-02,19.6
1947-03,29.7
1947-04,42.3
1947-05,56.6
1947-06,64
1947-07,70.8
1947-08,71.9
1947-09,61.4
1947-10,56.5
1947-11,34.9
1947-12,20.8
1948-01,13.8
1948-02,17.1
1948-03,30.3
1948-04,46.4
1948-05,54.7
1948-06,64.2
1948-07,70
1948-08,69.3
1948-09,62.2
1948-10,48
1948-11,44.2
1948-12,27.7
1949-01,26.5
1949-02,26.4
1949-03,33.5
1949-04,46.5
1949-05,57.4
1949-06,70.1
1949-07,74.1
1949-08,70.3
1949-09,58.3
1949-10,54.1
1949-11,35.5
1949-12,27.7
1950-01,28.6
1950-02,19.4
1950-03,25.1
1950-04,41.7
1950-05,56.2
1950-06,65.2
1950-07,68.5
1950-08,66.7
1950-09,57.1
1950-10,51.8
1950-11,41
1950-12,24.8
1951-01,24.2
1951-02,25.4
1951-03,33.5
1951-04,45.9
1951-05,58.2
1951-06,64.1
1951-07,69.4
1951-08,66.3
1951-09,59.4
1951-10,51.1
1951-11,33.2
1951-12,26.4
1952-01,24
1952-02,26.1
1952-03,31.3
1952-04,49
1952-05,53.7
1952-06,66.6
1952-07,72.6
1952-08,68.5
1952-09,61.3
1952-10,45.4
1952-11,39.5
1952-12,29.3
1953-01,27.7
1953-02,28.1
1953-03,35.9
1953-04,45.7
1953-05,59
1953-06,67.5
1953-07,70.9
1953-08,67.7
1953-09,61.2
1953-10,52
1953-11,41.8
1953-12,32
1954-01,17.9
1954-02,29.7
1954-03,33.2
1954-04,47.3
1954-05,55.1
1954-06,66.1
1954-07,68
1954-08,66
1954-09,58.9
1954-10,54
1954-11,38.7
1954-12,26.6
1955-01,19.3
1955-02,23.5
1955-03,31.4
1955-04,48.7
1955-05,60.4
1955-06,65.7
1955-07,74.6
1955-08,72.1
1955-09,59.6
1955-10,51.9
1955-11,36.8
1955-12,19.2
1956-01,22.4
1956-02,25.2
1956-03,26.6
1956-04,40.7
1956-05,52.1
1956-06,66.2
1956-07,67.1
1956-08,67
1956-09,56.5
1956-10,49.4
1956-11,39.2
1956-12,29
1957-01,14
1957-02,27
1957-03,33.8
1957-04,47.3
1957-05,56.2
1957-06,69.3
1957-07,68.9
1957-08,65.6
1957-09,61.4
1957-10,49.6
1957-11,40.4
1957-12,31.2
1958-01,21.3
1958-02,17.7
1958-03,34.2
1958-04,47.1
1958-05,53.4
1958-06,60.7
1958-07,70.3
1958-08,68.1
1958-09,60.6
1958-10,48.1
1958-11,39.1
1958-12,16.7
1959-01,18.9
1959-02,17.9
1959-03,30.1
1959-04,46.4
1959-05,59.3
1959-06,66.2
1959-07,72.2
1959-08,71.9
1959-09,65.1
1959-10,50.9
1959-11,37.1
1959-12,28
1960-01,20.9
1960-02,26.7
1960-03,24.7
1960-04,47.7
1960-05,59.4
1960-06,65.7
1960-07,67.6
1960-08,67.1
1960-09,61.1
1960-10,48.6
1960-11,40.2
1960-12,20
1961-01,13.2
1961-02,22.9
1961-03,31.3
1961-04,41.9
1961-05,54
1961-06,64.8
1961-07,69.5
1961-08,67.6
1961-09,66.9
1961-10,52.4
1961-11,38.2
1961-12,25.1
1962-01,19.1
1962-02,17.7
1962-03,32.3
1962-04,44.8
1962-05,57.4
1962-06,66
1962-07,66.5
1962-08,66.4
1962-09,56.8
1962-10,48.4
1962-11,33.4
1962-12,21.1
1963-01,17.3
1963-02,13.9
1963-03,30.8
1963-04,43.3
1963-05,54.3
1963-06,64.9
1963-07,70.2
1963-08,63.9
1963-09,55.2
1963-10,53.7
1963-11,42.6
1963-12,16.4
1964-01,21.5
1964-02,20.4
1964-03,32.8
1964-04,43.6
1964-05,59.4
1964-06,64.1
1964-07,72.1
1964-08,63.5
1964-09,59.1
1964-10,47.7
1964-11,39.4
1964-12,25.1
1965-01,17
1965-02,20.3
1965-03,29.9
1965-04,40.7
1965-05,59
1965-06,63.6
1965-07,66.3
1965-08,67.2
1965-09,60.1
1965-10,47.5
1965-11,35.6
1965-12,28.3
1966-01,19.4
1966-02,20.8
1966-03,32
1966-04,41.4
1966-05,51.6
1966-06,65.1
1966-07,69.7
1966-08,67.5
1966-09,56.8
1966-10,47.1
1966-11,41.3
1966-12,25.7
1967-01,26
1967-02,16
1967-03,26.9
1967-04,42.6
1967-05,48.4
1967-06,68
1967-07,69.6
1967-08,67.1
1967-09,59.1
1967-10,49
1967-11,33
1967-12,26.3
1968-01,12
1968-02,17.4
1968-03,34.5
1968-04,48.9
1968-05,53.2
1968-06,63.6
1968-07,70.3
1968-08,66.5
1968-09,62
1968-10,51
1968-11,35.6
1968-12,20.9
1969-01,19
1969-02,22.8
1969-03,29.6
1969-04,46.1
1969-05,54.6
1969-06,64.7
1969-07,68.3
1969-08,69
1969-09,60.5
1969-10,48.3
1969-11,37.7
1969-12,21.1
1970-01,8.3
1970-02,20.8
1970-03,28.9
1970-04,44.4
1970-05,57.5
1970-06,64.4
1970-07,69.4
1970-08,68.2
1970-09,60.5
1970-10,51.3
1970-11,39.9
1970-12,20.9
1971-01,13.3
1971-02,22.6
1971-03,27.8
1971-04,39.8
1971-05,54.4
1971-06,65.3
1971-07,68.3
1971-08,66.7
1971-09,63.1
1971-10,54
1971-11,35.5
1971-12,27.3
1972-01,21.2
1972-02,18.4
1972-03,28.5
1972-04,38.5
1972-05,57.6
1972-06,63
1972-07,69.7
1972-08,65.5
1972-09,59.2
1972-10,43.7
1972-11,33.6
1972-12,25.6
1973-01,23.5
1973-02,18.2
1973-03,37.5
1973-04,45.6
1973-05,53.1
1973-06,66.6
1973-07,70.2
1973-08,70.3
1973-09,58.8
1973-10,49.3
1973-11,37.8
1973-12,26.2
1974-01,20.6
1974-02,18.2
1974-03,30.2
1974-04,45
1974-05,52.3
1974-06,63.9
1974-07,69.4
1974-08,66.6
1974-09,56.8
1974-10,41.8
1974-11,37.4
1974-12,27.4
1975-01,22.4
1975-02,22.2
1975-03,28.5
1975-04,37.5
1975-05,59.4
1975-06,63.7
1975-07,69.9
1975-08,66.5
1975-09,55.8
1975-10,50.3
1975-11,42.7
1975-12,22.7
1976-01,12.1
1976-02,27.2
1976-03,32.3
1976-04,46.3
1976-05,53.4
1976-06,67.9
1976-07,67
1976-08,66.5
1976-09,57.5
1976-10,44.8
1976-11,33.9
1976-12,18.9
1977-01,12.3
1977-02,22.1
1977-03,38
1977-04,45.6
1977-05,59.3
1977-06,63
1977-07,69.7
1977-08,67
1977-09,60.1
1977-10,47.5
1977-11,40.5
1977-12,22.3
1978-01,17.8
1978-02,14.9
1978-03,27.5
1978-04,41.8
1978-05,57.7
1978-06,64.4
1978-07,68.9
1978-08,68.2
1978-09,56.2
1978-10,46.4
1978-11,37
1978-12,25.5
1979-01,19.8
1979-02,11.1
1979-03,36.1
1979-04,43.5
1979-05,58.6
1979-06,63.6
1979-07,70.7
1979-08,67.2
1979-09,58.9
1979-10,47.8
1979-11,41.9
1979-12,28.9
1980-01,22.4
1980-02,18.9
1980-03,30.7
1980-04,45.6
1980-05,57.6
1980-06,61.7
1980-07,70.2
1980-08,70
1980-09,60.9
1980-10,45.8
1980-11,33.8
1980-12,17.1
1981-01,10.7
1981-02,30.4
1981-03,33.3
1981-04,46.8
1981-05,57.7
1981-06,64.8
1981-07,69.8
1981-08,66.9
1981-09,58.5
1981-10,44.7
1981-11,37.8
1981-12,25.6
1982-01,10.5
1982-02,20.6
1982-03,29.5
1982-04,41.3
1982-05,57.9
1982-06,62.2
1982-07,69.6
1982-08,64.3
1982-09,60.3
1982-10,49
1982-11,40.7
1982-12,30.6
1983-01,21.1
1983-02,24.7
1983-03,34.6
1983-04,43.3
1983-05,53.3
1983-06,66.7
1983-07,71.4
1983-08,68.5
1983-09,62
1983-10,49.1
1983-11,37.6
1983-12,22.1
1984-01,17
1984-02,29.8
1984-03,26
1984-04,44.8
1984-05,53.1
1984-06,66.5
1984-07,68.8
1984-08,69.4
1984-09,57.2
1984-10,51.2
1984-11,37.6
1984-12,31.2
1985-01,16.1
1985-02,23.3
1985-03,34.6
1985-04,46.4
1985-05,58.2
1985-06,61.2
1985-07,68.7
1985-08,66.7
1985-09,61.6
1985-10,49.4
1985-11,38.8
1985-12,21.8
1986-01,20.1
1986-02,19.8
1986-03,34.3
1986-04,49.3
1986-05,60
1986-06,63.3
1986-07,68.9
1986-08,65.8
1986-09,57.8
1986-10,47.8
1986-11,34.8
1986-12,28.1
1987-01,19.3
1987-02,18.8
1987-03,34.7
1987-04,48.4
1987-05,58
1987-06,66.6
1987-07,71.2
1987-08,65.3
1987-09,59.3
1987-10,46
1987-11,38
1987-12,28.7
1988-01,17.5
1988-02,21.9
1988-03,31.9
1988-04,45.3
1988-05,58.4
1988-06,63.9
1988-07,72.6
1988-08,70.6
1988-09,57.2
1988-10,45.3
1988-11,39.3
1988-12,23.3
1989-01,25.7
1989-02,21.5
1989-03,30.9
1989-04,42.1
1989-05,58.1
1989-06,66.2
1989-07,69.3
1989-08,67.2
1989-09,60.5
1989-10,49.8
1989-11,37.2
1989-12,10.4
1990-01,29.7
1990-02,25.4
1990-03,34.4
1990-04,46.3
1990-05,53.9
1990-06,65.4
1990-07,70.4
1990-08,69
1990-09,59.1
1990-10,51.9
1990-11,40
1990-12,30.7
1991-01,20.5
1991-02,27.9
1991-03,35.5
1991-04,49
1991-05,61.5
1991-06,67
1991-07,69.5
1991-08,69.9
1991-09,58.3
1991-10,51.1
1991-11,38.2
1991-12,26.5
1992-01,21.9
1992-02,23.8
1992-03,28.6
1992-04,42.5
1992-05,56.1
1992-06,63.2
1992-07,66.2
1992-08,65.6
1992-09,59.9
1992-10,44.9
1992-11,36.7
1992-12,26.9
1993-01,24.2
1993-02,14.8
1993-03,28.4
1993-04,45.5
1993-05,57.5
1993-06,64
1993-07,70.6
1993-08,69.1
1993-09,58.9
1993-10,46.9
1993-11,36.9
1993-12,24.6
1994-01,9.5
1994-02,15.9
1994-03,30.6
1994-04,46.3
1994-05,55.2
1994-06,67.4
1994-07,71.7
1994-08,65.5
1994-09,59.1
1994-10,48.4
1994-11,41.7
1994-12,29.5
1995-01,27.7
1995-02,19.6
1995-03,36.2
1995-04,41.4
1995-05,55.5
1995-06,66.5
1995-07,72.6
1995-08,69.3
1995-09,57.7
1995-10,52.4
1995-11,34.6
1995-12,20.8
1996-01,18.3
1996-02,22.8
1996-03,28.9
1996-04,44
1996-05,53.8
1996-06,66.8
1996-07,68.2
1996-08,68.6
1996-09,61.2
1996-10,48.3
1996-11,33.7
1996-12,31.9
1997-01,19.7
1997-02,26.5
1997-03,30.1
1997-04,42.9
1997-05,52.2
1997-06,66.5
1997-07,68.8
1997-08,67.2
1997-09,59.1
1997-10,47.7
1997-11,34.7
1997-12,27.7
1998-01,26
1998-02,29.2
1998-03,35.1
1998-04,48
1998-05,62
1998-06,65.1
1998-07,69.3
1998-08,68.9
1998-09,61.8
1998-10,50.1
1998-11,38.6
1998-12,32.6
1999-01,19.2
1999-02,26.1
1999-03,32
1999-04,45.1
1999-05,58.6
1999-06,68.5
1999-07,72.5
1999-08,67.4
1999-09,63.6
1999-10,47.6
1999-11,43.4
1999-12,28.6
2000-01,18.9
2000-02,25.5
2000-03,37.8
2000-04,43.7
2000-05,57.9
2000-06,64.6
2000-07,66.2
2000-08,66.7
2000-09,58.8
2000-10,49.4
2000-11,37.4
2000-12,20.2
2001-01,22
2001-02,24.7
2001-03,28.7
2001-04,44.5
2001-05,58.2
2001-06,66.8
2001-07,67.4
2001-08,71.4
2001-09,61.3
2001-10,51.1
2001-11,42.2
2001-12,32.2
2002-01,28.6
2002-02,29.1
2002-03,33.8
2002-04,47.5
2002-05,53.2
2002-06,65.5
2002-07,71
2002-08,70.1
2002-09,63.8
2002-10,46.3
2002-11,36.9
2002-12,24.6
2003-01,13.2
2003-02,18.3
2003-03,32
2003-04,42.3
2003-05,55.5
2003-06,65.2
2003-07,70
2003-08,70.9
2003-09,61.9
2003-10,47.4
2003-11,40.3
2003-12,25.9
2004-01,11.9
2004-02,20.5
2004-03,35
2004-04,46.3
2004-05,59.8
2004-06,63.6
2004-07,68.8
2004-08,67.7
2004-09,62.2
2004-10,48.8
2004-11,38.8
2004-12,25.4
2005-01,17.6
2005-02,24.4
2005-03,28.5
2005-04,48
2005-05,52.9
2005-06,70.8
2005-07,72.1
2005-08,71.7
2005-09,64.5
2005-10,50.5
2005-11,40.9
2005-12,24.3
2006-01,29.2
2006-02,25.2
2006-03,32.8
2006-04,47.2
2006-05,56.9
2006-06,65.8
2006-07,71.5
2006-08,66.9
2006-09,58.7
2006-10,47
2006-11,42.8
2006-12,33.5
2007-01,24.2
2007-02,16.6
2007-03,29.3
2007-04,41.4
2007-05,58
2007-06,67.2
2007-07,67.7
2007-08,68.6
2007-09,62.2
2007-10,54.8
2007-11,35.8
2007-12,25.3
2008-01,23.7
2008-02,22.9
2008-03,30.1
2008-04,49.1
2008-05,53.4
2008-06,67.4
2008-07,69.3
2008-08,65.6
2008-09,61.6
2008-10,46.7
2008-11,37.4
2008-12,26.2
2009-01,14.6
2009-02,24.4
2009-03,33.6
2009-04,46.8
2009-05,57.1
2009-06,62.9
2009-07,66.7
2009-08,69.2
2009-09,58.7
2009-10,46.9
2009-11,42.7
2009-12,24.7
2010-01,22.9
2010-02,26.2
2010-03,40.2
2010-04,50.7
2010-05,60.5
2010-06,66.7
2010-07,73.3
2010-08,69.5
2010-09,62.6
2010-10,49.7
2010-11,38.6
2010-12,24.4
2011-01,18.4
2011-02,20.5
2011-03,31.2
2011-04,46
2011-05,59.7
2011-06,65.6
2011-07,72
2011-08,68.4
2011-09,63.2
2011-10,50.5
2011-11,42.1
2011-12,30.8
2012-01,25.4
2012-02,29.3
2012-03,42.6
2012-04,46.4
2012-05,61.3
2012-06,65.4
2012-07,72.4
2012-08,69.3
2012-09,60.2
2012-10,52.3
2012-11,36.4
2012-12,30.7
2013-01,22.4
2013-02,24.2
2013-03,32.1
2013-04,44.5
2013-05,58.9
2013-06,65.8
2013-07,73.6
2013-08,66.9
2013-09,59.7
2013-10,51.4
2013-11,35.2
2013-12,24.9
2014-01,17
2014-02,19.7
2014-03,24.4
2014-04,45
2014-05,58.5
2014-06,66.1
2014-07,69.4
2014-08,66.4
2014-09,60
2014-10,51.6
2014-11,36
2014-12,29.3
2015-01,15.8
2015-02,9.6
2015-03,26.2
2015-04,44.4
2015-05,63
2015-06,63.8
2015-07,69.6
2015-08,69.6
2015-09,65.3
2015-10,48.3
2015-11,42.5
2015-12,38.5
2016-01,24.5
2016-02,27.6
2016-03,37.9
2016-04,43.9
2016-05,58
2016-06,66.5
2016-07,72
2016-08,71.5
2016-09,64.1
2016-10,51
2016-11,40
2016-12,27
2017-01,27.9
2017-02,30.3
2017-03,28.4
2017-04,50.5
2017-05,56
2017-06,65.3
2017-07,69.1
2017-08,67.1
2017-09,64
2017-10,55.8
2017-11,37.1
2017-12,22.7
2018-01,19.1
2018-02,28.5
2018-03,32
2018-04,39.4
2018-05,61.8
2018-06,64.8
2018-07,73.3
2018-08,72.3
2018-09,64.7
2018-10,48.1
2018-11,33.7
2018-12,27.9
