PRISM Time Series Data,,
Location:  Lat: 43.1075   Lon: -73.8639   Elev: 620ft,,
"Climate variables: ppt,tmean",,
2014-07,5.59,69.4
2014-08,3.56,66.4
2014-09,2.54,60
2014-10,3.19,51.6
2014-11,2.76,36
2014-12,6.51,29.3
2015-01,2.8,15.8
2015-02,2.81,9.6
2015-03,1.29,26.2
2015-04,2.71,44.4
2015-05,1.84,63
2015-06,6.53,63.8
2015-07,4.65,69.6
2015-08,1.69,69.6
2015-09,5.92,65.3
2015-10,4.9,48.3
2015-11,1.69,42.5
2015-12,4.94,38.5
2016-01,1.29,24.5
2016-02,5.07,27.6
2016-03,2.31,37.9
2016-04,2.77,43.9
2016-05,3.21,58
2016-06,3.31,66.5
2016-07,3.43,72
2016-08,4.78,71.5
2016-09,2.03,64.1
2016-10,4.25,51
2016-11,3.42,40
2016-12,3.95,27
2017-01,3.77,27.9
2017-02,3.34,30.3
2017-03,3.01,28.4
2017-04,5.03,50.5
2017-05,6.55,56
2017-06,5.02,65.3
2017-07,4.49,69.1
2017-08,1.68,67.1
2017-09,2.56,64
2017-10,4.08,55.8
2017-11,1.9,37.1
2017-12,3.93,22.7
2018-01,2.99,19.1
2018-02,3.81,28.5
2018-03,3.28,32
2018-04,4.33,39.4
2018-05,2,61.8
2018-06,3.16,64.8
2018-07,5.7,73.3
2018-08,6.45,72.3
2018-09,5.34,64.7
2018-10,3.99,48.1
2018-11,7.1,33.7
2018-12,4,27.9
