PRISM Time Series Data,,,,,,
Locations: 48,,,,,,
"Climate variables: ppt,tmean",,,,,,
Spatial resolution: 4km,,,,,,
Period: 1895 - 2017,,,,,,
Dataset: AN81m,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,
Grid Cell Interpolation: Off,,,,,,
Time series generated: 2019-Jan-08,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmean (degrees F)
"Montgomery, ",-86.2791,32.3615,256,1966,54.79,64.3
"Montgomery, ",-86.2791,32.3615,256,1967,53.11,64.2
"Montgomery, ",-86.2791,32.3615,256,1968,38.36,63.3
"Montgomery, ",-86.2791,32.3615,256,1969,46.01,64
"Montgomery, ",-86.2791,32.3615,256,1970,51.55,64.5
"Montgomery, ",-86.2791,32.3615,256,1971,59.74,64.8
"Montgomery, ",-86.2791,32.3615,256,1972,52.27,65.2
"Montgomery, ",-86.2791,32.3615,256,1973,60.03,65.2
"Montgomery, ",-86.2791,32.3615,256,1974,56.76,65
"Montgomery, ",-86.2791,32.3615,256,1975,73.97,64.9
"Montgomery, ",-86.2791,32.3615,256,1976,51.02,62.5
"Montgomery, ",-86.2791,32.3615,256,1977,47.23,64.8
"Montgomery, ",-86.2791,32.3615,256,1978,49.17,64.3
"Montgomery, ",-86.2791,32.3615,256,1979,59.52,63.6
"Montgomery, ",-86.2791,32.3615,256,1980,48.45,64.5
"Montgomery, ",-86.2791,32.3615,256,1981,45.11,64.2
"Montgomery, ",-86.2791,32.3615,256,1982,58.68,65.7
"Montgomery, ",-86.2791,32.3615,256,1983,66.23,62.9
"Montgomery, ",-86.2791,32.3615,256,1984,46.66,64.8
"Montgomery, ",-86.2791,32.3615,256,1985,43.71,65.2
"Montgomery, ",-86.2791,32.3615,256,1986,47.73,66.1
"Montgomery, ",-86.2791,32.3615,256,1987,47.24,64.9
"Montgomery, ",-86.2791,32.3615,256,1988,53.81,63.8
"Montgomery, ",-86.2791,32.3615,256,1989,67.72,64.2
"Montgomery, ",-86.2791,32.3615,256,1990,48.06,66.9
"Montgomery, ",-86.2791,32.3615,256,1991,58.57,65.7
"Montgomery, ",-86.2791,32.3615,256,1992,60.72,63.8
"Montgomery, ",-86.2791,32.3615,256,1993,47.13,64.3
"Montgomery, ",-86.2791,32.3615,256,1994,52.21,65.1
"Montgomery, ",-86.2791,32.3615,256,1995,45.24,65
"Montgomery, ",-86.2791,32.3615,256,1996,55.99,63.6
"Montgomery, ",-86.2791,32.3615,256,1997,54.98,64.4
"Montgomery, ",-86.2791,32.3615,256,1998,47.97,66.9
"Montgomery, ",-86.2791,32.3615,256,1999,45.44,65.5
"Montgomery, ",-86.2791,32.3615,256,2000,35.88,64.9
"Montgomery, ",-86.2791,32.3615,256,2001,50.22,64.3
"Montgomery, ",-86.2791,32.3615,256,2002,41.64,64.9
"Montgomery, ",-86.2791,32.3615,256,2003,54.59,64.2
"Montgomery, ",-86.2791,32.3615,256,2004,47.08,65.1
"Montgomery, ",-86.2791,32.3615,256,2005,55.69,64.7
"Montgomery, ",-86.2791,32.3615,256,2006,44.9,65.6
"Montgomery, ",-86.2791,32.3615,256,2007,40.13,65.9
"Montgomery, ",-86.2791,32.3615,256,2008,54.79,64.3
"Montgomery, ",-86.2791,32.3615,256,2009,77.37,64.3
"Montgomery, ",-86.2791,32.3615,256,2010,44.2,64.1
"Montgomery, ",-86.2791,32.3615,256,2011,43.45,65.3
"Montgomery, ",-86.2791,32.3615,256,2012,42.51,66.4
"Montgomery, ",-86.2791,32.3615,256,2013,59.2,64.6
"Montgomery, ",-86.2791,32.3615,256,2014,55.05,64
"Montgomery, ",-86.2791,32.3615,256,2015,57.87,66.5
"Montgomery, ",-86.2791,32.3615,256,2016,45.52,67.4
"Montgomery, ",-86.2791,32.3615,256,2017,71.79,67.1
,,,,,,
"Phoenix, Ari",-112.0738,33.4485,1086,1895,6.46,70.6
"Phoenix, Ari",-112.0738,33.4485,1086,1896,9.8,70.3
"Phoenix, Ari",-112.0738,33.4485,1086,1897,7.65,69.2
"Phoenix, Ari",-112.0738,33.4485,1086,1898,6.84,69.6
"Phoenix, Ari",-112.0738,33.4485,1086,1899,5.31,68.4
"Phoenix, Ari",-112.0738,33.4485,1086,1900,4.13,70.2
"Phoenix, Ari",-112.0738,33.4485,1086,1901,6.12,69.3
"Phoenix, Ari",-112.0738,33.4485,1086,1902,5.95,69.2
"Phoenix, Ari",-112.0738,33.4485,1086,1903,4.96,70
"Phoenix, Ari",-112.0738,33.4485,1086,1904,6.11,70.8
"Phoenix, Ari",-112.0738,33.4485,1086,1905,18.23,69.9
"Phoenix, Ari",-112.0738,33.4485,1086,1906,10.47,69.7
"Phoenix, Ari",-112.0738,33.4485,1086,1907,8.96,69.8
"Phoenix, Ari",-112.0738,33.4485,1086,1908,9.33,69.8
"Phoenix, Ari",-112.0738,33.4485,1086,1909,7.41,69.1
"Phoenix, Ari",-112.0738,33.4485,1086,1910,5.64,71.7
"Phoenix, Ari",-112.0738,33.4485,1086,1911,11.21,69
"Phoenix, Ari",-112.0738,33.4485,1086,1912,8.91,67.9
"Phoenix, Ari",-112.0738,33.4485,1086,1913,7.27,68.6
"Phoenix, Ari",-112.0738,33.4485,1086,1914,10.39,71
"Phoenix, Ari",-112.0738,33.4485,1086,1915,9.85,68.4
"Phoenix, Ari",-112.0738,33.4485,1086,1916,9.37,69.3
"Phoenix, Ari",-112.0738,33.4485,1086,1917,7.96,68.9
"Phoenix, Ari",-112.0738,33.4485,1086,1918,10.78,69.2
"Phoenix, Ari",-112.0738,33.4485,1086,1919,11.62,68.6
"Phoenix, Ari",-112.0738,33.4485,1086,1920,7.68,68.3
"Phoenix, Ari",-112.0738,33.4485,1086,1921,6.42,70.1
"Phoenix, Ari",-112.0738,33.4485,1086,1922,6.86,69.2
"Phoenix, Ari",-112.0738,33.4485,1086,1923,10.68,68.9
"Phoenix, Ari",-112.0738,33.4485,1086,1924,4.05,69.5
"Phoenix, Ari",-112.0738,33.4485,1086,1925,5.79,70.2
"Phoenix, Ari",-112.0738,33.4485,1086,1926,11.66,70.8
"Phoenix, Ari",-112.0738,33.4485,1086,1927,7.55,70.7
"Phoenix, Ari",-112.0738,33.4485,1086,1928,4.77,70.1
"Phoenix, Ari",-112.0738,33.4485,1086,1929,5.03,68.5
"Phoenix, Ari",-112.0738,33.4485,1086,1930,9.06,68.6
"Phoenix, Ari",-112.0738,33.4485,1086,1931,12.21,69.8
"Phoenix, Ari",-112.0738,33.4485,1086,1932,7.68,68.7
"Phoenix, Ari",-112.0738,33.4485,1086,1933,6.78,69.1
"Phoenix, Ari",-112.0738,33.4485,1086,1934,6.25,72.1
"Phoenix, Ari",-112.0738,33.4485,1086,1935,10.45,69.5
"Phoenix, Ari",-112.0738,33.4485,1086,1936,8.48,71.2
"Phoenix, Ari",-112.0738,33.4485,1086,1937,6.46,70.4
"Phoenix, Ari",-112.0738,33.4485,1086,1938,5.78,70.1
"Phoenix, Ari",-112.0738,33.4485,1086,1939,8.25,70.8
"Phoenix, Ari",-112.0738,33.4485,1086,1940,8.67,72.1
"Phoenix, Ari",-112.0738,33.4485,1086,1941,16.79,68.9
"Phoenix, Ari",-112.0738,33.4485,1086,1942,5.25,69.8
"Phoenix, Ari",-112.0738,33.4485,1086,1943,7.73,71.2
"Phoenix, Ari",-112.0738,33.4485,1086,1944,8.32,68.8
"Phoenix, Ari",-112.0738,33.4485,1086,1945,5.91,69.5
"Phoenix, Ari",-112.0738,33.4485,1086,1946,8.95,69.5
"Phoenix, Ari",-112.0738,33.4485,1086,1947,4.18,69.9
"Phoenix, Ari",-112.0738,33.4485,1086,1948,4.5,69.8
"Phoenix, Ari",-112.0738,33.4485,1086,1949,7.31,69.7
"Phoenix, Ari",-112.0738,33.4485,1086,1950,4.58,71.5
"Phoenix, Ari",-112.0738,33.4485,1086,1951,12.46,70
"Phoenix, Ari",-112.0738,33.4485,1086,1952,10.58,70.2
"Phoenix, Ari",-112.0738,33.4485,1086,1953,3.86,70.4
"Phoenix, Ari",-112.0738,33.4485,1086,1954,7.25,72.1
"Phoenix, Ari",-112.0738,33.4485,1086,1955,9.64,69.5
"Phoenix, Ari",-112.0738,33.4485,1086,1956,3.39,70.7
"Phoenix, Ari",-112.0738,33.4485,1086,1957,8.42,71
"Phoenix, Ari",-112.0738,33.4485,1086,1958,7.27,72.2
"Phoenix, Ari",-112.0738,33.4485,1086,1959,9.57,71.9
"Phoenix, Ari",-112.0738,33.4485,1086,1960,5.01,71
"Phoenix, Ari",-112.0738,33.4485,1086,1961,5.68,70.9
"Phoenix, Ari",-112.0738,33.4485,1086,1962,4.87,71.3
"Phoenix, Ari",-112.0738,33.4485,1086,1963,7.15,71.2
"Phoenix, Ari",-112.0738,33.4485,1086,1964,7.35,69
"Phoenix, Ari",-112.0738,33.4485,1086,1965,13.02,69.7
"Phoenix, Ari",-112.0738,33.4485,1086,1966,7.43,71.1
"Phoenix, Ari",-112.0738,33.4485,1086,1967,10.02,70.6
"Phoenix, Ari",-112.0738,33.4485,1086,1968,7.41,70.2
"Phoenix, Ari",-112.0738,33.4485,1086,1969,7.46,71.1
"Phoenix, Ari",-112.0738,33.4485,1086,1970,7.64,70.4
"Phoenix, Ari",-112.0738,33.4485,1086,1971,6.02,69.6
"Phoenix, Ari",-112.0738,33.4485,1086,1972,9.61,71.3
"Phoenix, Ari",-112.0738,33.4485,1086,1973,5.97,70.6
"Phoenix, Ari",-112.0738,33.4485,1086,1974,8.31,71.5
"Phoenix, Ari",-112.0738,33.4485,1086,1975,5.32,69.9
"Phoenix, Ari",-112.0738,33.4485,1086,1976,6.63,71.3
"Phoenix, Ari",-112.0738,33.4485,1086,1977,4.81,73
"Phoenix, Ari",-112.0738,33.4485,1086,1978,15.37,72.2
"Phoenix, Ari",-112.0738,33.4485,1086,1979,7.83,71.4
"Phoenix, Ari",-112.0738,33.4485,1086,1980,7.22,72.8
"Phoenix, Ari",-112.0738,33.4485,1086,1981,5.71,74.2
"Phoenix, Ari",-112.0738,33.4485,1086,1982,10.95,71.3
"Phoenix, Ari",-112.0738,33.4485,1086,1983,12.43,71.8
"Phoenix, Ari",-112.0738,33.4485,1086,1984,13.09,71.9
"Phoenix, Ari",-112.0738,33.4485,1086,1985,8.7,72.4
"Phoenix, Ari",-112.0738,33.4485,1086,1986,7.47,73.8
"Phoenix, Ari",-112.0738,33.4485,1086,1987,8.28,73
"Phoenix, Ari",-112.0738,33.4485,1086,1988,8.1,73.7
"Phoenix, Ari",-112.0738,33.4485,1086,1989,4.92,74.5
"Phoenix, Ari",-112.0738,33.4485,1086,1990,10.59,73
"Phoenix, Ari",-112.0738,33.4485,1086,1991,8.97,72.6
"Phoenix, Ari",-112.0738,33.4485,1086,1992,16.62,73
"Phoenix, Ari",-112.0738,33.4485,1086,1993,15.24,72.8
"Phoenix, Ari",-112.0738,33.4485,1086,1994,8.93,73.1
"Phoenix, Ari",-112.0738,33.4485,1086,1995,8.06,73.5
"Phoenix, Ari",-112.0738,33.4485,1086,1996,5.18,74.4
"Phoenix, Ari",-112.0738,33.4485,1086,1997,6.36,73.7
"Phoenix, Ari",-112.0738,33.4485,1086,1998,10.89,71.4
"Phoenix, Ari",-112.0738,33.4485,1086,1999,5.99,73.2
"Phoenix, Ari",-112.0738,33.4485,1086,2000,8.17,73.7
"Phoenix, Ari",-112.0738,33.4485,1086,2001,7.69,73.8
"Phoenix, Ari",-112.0738,33.4485,1086,2002,3.22,73.8
"Phoenix, Ari",-112.0738,33.4485,1086,2003,8.79,74.3
"Phoenix, Ari",-112.0738,33.4485,1086,2004,8.37,73.4
"Phoenix, Ari",-112.0738,33.4485,1086,2005,7.63,73.8
"Phoenix, Ari",-112.0738,33.4485,1086,2006,5.24,73.8
"Phoenix, Ari",-112.0738,33.4485,1086,2007,4.89,74.6
"Phoenix, Ari",-112.0738,33.4485,1086,2008,9.26,73.9
"Phoenix, Ari",-112.0738,33.4485,1086,2009,3.91,74.6
"Phoenix, Ari",-112.0738,33.4485,1086,2010,8.78,73.4
"Phoenix, Ari",-112.0738,33.4485,1086,2011,4.31,73.4
"Phoenix, Ari",-112.0738,33.4485,1086,2012,5.42,74.9
"Phoenix, Ari",-112.0738,33.4485,1086,2013,8.18,73.8
"Phoenix, Ari",-112.0738,33.4485,1086,2014,10.12,75.2
"Phoenix, Ari",-112.0738,33.4485,1086,2015,7.15,75.1
"Phoenix, Ari",-112.0738,33.4485,1086,2016,8.73,75.5
"Phoenix, Ari",-112.0738,33.4485,1086,2017,6.49,75.9
,,,,,,
"Little Rock,",-92.3311,34.736,397,1895,45.22,60.5
"Little Rock,",-92.3311,34.736,397,1896,36.87,63.6
"Little Rock,",-92.3311,34.736,397,1897,47.83,63.3
"Little Rock,",-92.3311,34.736,397,1898,50.82,62.4
"Little Rock,",-92.3311,34.736,397,1899,42.02,61.4
"Little Rock,",-92.3311,34.736,397,1900,46.43,62.9
"Little Rock,",-92.3311,34.736,397,1901,34.81,62.1
"Little Rock,",-92.3311,34.736,397,1902,54.63,61.8
"Little Rock,",-92.3311,34.736,397,1903,41.47,60.6
"Little Rock,",-92.3311,34.736,397,1904,41.88,61.7
"Little Rock,",-92.3311,34.736,397,1905,63.66,60.9
"Little Rock,",-92.3311,34.736,397,1906,53.51,61.5
"Little Rock,",-92.3311,34.736,397,1907,53.24,63
"Little Rock,",-92.3311,34.736,397,1908,44.46,63.4
"Little Rock,",-92.3311,34.736,397,1909,41.7,63.1
"Little Rock,",-92.3311,34.736,397,1910,49.95,62
"Little Rock,",-92.3311,34.736,397,1911,52.21,63.7
"Little Rock,",-92.3311,34.736,397,1912,49.76,60.4
"Little Rock,",-92.3311,34.736,397,1913,60.44,62.5
"Little Rock,",-92.3311,34.736,397,1914,40.46,62.4
"Little Rock,",-92.3311,34.736,397,1915,49.42,61.8
"Little Rock,",-92.3311,34.736,397,1916,39.25,62.8
"Little Rock,",-92.3311,34.736,397,1917,38.23,60.4
"Little Rock,",-92.3311,34.736,397,1918,46.07,62.7
"Little Rock,",-92.3311,34.736,397,1919,58.11,62.5
"Little Rock,",-92.3311,34.736,397,1920,56.04,61.7
"Little Rock,",-92.3311,34.736,397,1921,48.01,65.1
"Little Rock,",-92.3311,34.736,397,1922,40.04,63.8
"Little Rock,",-92.3311,34.736,397,1923,64.05,62.7
"Little Rock,",-92.3311,34.736,397,1924,37.14,61.2
"Little Rock,",-92.3311,34.736,397,1925,37.62,64.1
"Little Rock,",-92.3311,34.736,397,1926,47.92,62.4
"Little Rock,",-92.3311,34.736,397,1927,63.89,64
"Little Rock,",-92.3311,34.736,397,1928,46.93,62.1
"Little Rock,",-92.3311,34.736,397,1929,43.01,61.7
"Little Rock,",-92.3311,34.736,397,1930,44.53,63.1
"Little Rock,",-92.3311,34.736,397,1931,48.75,63.8
"Little Rock,",-92.3311,34.736,397,1932,52.24,63.3
"Little Rock,",-92.3311,34.736,397,1933,46.44,64
"Little Rock,",-92.3311,34.736,397,1934,44.17,63.6
"Little Rock,",-92.3311,34.736,397,1935,53.81,62.5
"Little Rock,",-92.3311,34.736,397,1936,33.89,62.9
"Little Rock,",-92.3311,34.736,397,1937,55.73,61.9
"Little Rock,",-92.3311,34.736,397,1938,51.45,64.6
"Little Rock,",-92.3311,34.736,397,1939,53.48,63.5
"Little Rock,",-92.3311,34.736,397,1940,40.91,60.2
"Little Rock,",-92.3311,34.736,397,1941,46.25,62.7
"Little Rock,",-92.3311,34.736,397,1942,49.76,61.8
"Little Rock,",-92.3311,34.736,397,1943,33.13,62.8
"Little Rock,",-92.3311,34.736,397,1944,56.86,62.8
"Little Rock,",-92.3311,34.736,397,1945,67.44,61.7
"Little Rock,",-92.3311,34.736,397,1946,55.96,63.4
"Little Rock,",-92.3311,34.736,397,1947,41.98,61.7
"Little Rock,",-92.3311,34.736,397,1948,54.06,61.7
"Little Rock,",-92.3311,34.736,397,1949,61.57,62.7
"Little Rock,",-92.3311,34.736,397,1950,64,61.5
"Little Rock,",-92.3311,34.736,397,1951,50.54,61.8
"Little Rock,",-92.3311,34.736,397,1952,46.72,62.9
"Little Rock,",-92.3311,34.736,397,1953,44.82,63.8
"Little Rock,",-92.3311,34.736,397,1954,37.23,64.8
"Little Rock,",-92.3311,34.736,397,1955,43.08,62.8
"Little Rock,",-92.3311,34.736,397,1956,49.57,63.3
"Little Rock,",-92.3311,34.736,397,1957,76.56,62.6
"Little Rock,",-92.3311,34.736,397,1958,53.89,60.9
"Little Rock,",-92.3311,34.736,397,1959,52.4,62.2
"Little Rock,",-92.3311,34.736,397,1960,45.06,60.7
"Little Rock,",-92.3311,34.736,397,1961,53.07,61.3
"Little Rock,",-92.3311,34.736,397,1962,47.08,62.2
"Little Rock,",-92.3311,34.736,397,1963,35.7,62.1
"Little Rock,",-92.3311,34.736,397,1964,49.62,62.4
"Little Rock,",-92.3311,34.736,397,1965,43.12,62.9
"Little Rock,",-92.3311,34.736,397,1966,47.83,61.1
"Little Rock,",-92.3311,34.736,397,1967,54.59,61.5
"Little Rock,",-92.3311,34.736,397,1968,59.1,60.3
"Little Rock,",-92.3311,34.736,397,1969,46.46,61.3
"Little Rock,",-92.3311,34.736,397,1970,46.97,61.8
"Little Rock,",-92.3311,34.736,397,1971,43.36,62.3
"Little Rock,",-92.3311,34.736,397,1972,45.89,62.1
"Little Rock,",-92.3311,34.736,397,1973,73.02,62.6
"Little Rock,",-92.3311,34.736,397,1974,60.8,62.2
"Little Rock,",-92.3311,34.736,397,1975,50.14,61.7
"Little Rock,",-92.3311,34.736,397,1976,41.78,60.6
"Little Rock,",-92.3311,34.736,397,1977,49.54,62.4
"Little Rock,",-92.3311,34.736,397,1978,55.78,60.6
"Little Rock,",-92.3311,34.736,397,1979,61.12,59.9
"Little Rock,",-92.3311,34.736,397,1980,40.37,62.4
"Little Rock,",-92.3311,34.736,397,1981,41.92,62.1
"Little Rock,",-92.3311,34.736,397,1982,59.61,61.7
"Little Rock,",-92.3311,34.736,397,1983,41.75,60.3
"Little Rock,",-92.3311,34.736,397,1984,60.24,61.5
"Little Rock,",-92.3311,34.736,397,1985,47.35,61.6
"Little Rock,",-92.3311,34.736,397,1986,45.64,63.2
"Little Rock,",-92.3311,34.736,397,1987,55.25,62.9
"Little Rock,",-92.3311,34.736,397,1988,46.22,61.6
"Little Rock,",-92.3311,34.736,397,1989,47.92,60.7
"Little Rock,",-92.3311,34.736,397,1990,63.92,63.7
"Little Rock,",-92.3311,34.736,397,1991,60.33,63
"Little Rock,",-92.3311,34.736,397,1992,44.5,61.7
"Little Rock,",-92.3311,34.736,397,1993,48.02,61
"Little Rock,",-92.3311,34.736,397,1994,53.88,62
"Little Rock,",-92.3311,34.736,397,1995,37.96,62.1
"Little Rock,",-92.3311,34.736,397,1996,51.42,61.2
"Little Rock,",-92.3311,34.736,397,1997,51.22,61.5
"Little Rock,",-92.3311,34.736,397,1998,43.77,64.8
"Little Rock,",-92.3311,34.736,397,1999,41.93,63.6
"Little Rock,",-92.3311,34.736,397,2000,40,62.5
"Little Rock,",-92.3311,34.736,397,2001,48.7,62.5
"Little Rock,",-92.3311,34.736,397,2002,53.21,61.8
"Little Rock,",-92.3311,34.736,397,2003,45.38,61.7
"Little Rock,",-92.3311,34.736,397,2004,55.51,62.6
"Little Rock,",-92.3311,34.736,397,2005,33.17,63.4
"Little Rock,",-92.3311,34.736,397,2006,46.47,63.5
"Little Rock,",-92.3311,34.736,397,2007,47.68,63.3
"Little Rock,",-92.3311,34.736,397,2008,52.06,61.3
"Little Rock,",-92.3311,34.736,397,2009,81.32,61.1
"Little Rock,",-92.3311,34.736,397,2010,40.27,62.8
"Little Rock,",-92.3311,34.736,397,2011,63.01,63.1
"Little Rock,",-92.3311,34.736,397,2012,43.27,65.1
"Little Rock,",-92.3311,34.736,397,2013,54.83,61
"Little Rock,",-92.3311,34.736,397,2014,49.1,60
"Little Rock,",-92.3311,34.736,397,2015,68.78,62.7
"Little Rock,",-92.3311,34.736,397,2016,55.98,63.8
"Little Rock,",-92.3311,34.736,397,2017,51.94,63.2
,,,,,,
"Sacramento, ",-121.4689,38.5556,30,1895,17.73,60
"Sacramento, ",-121.4689,38.5556,30,1896,25.09,60.8
"Sacramento, ",-121.4689,38.5556,30,1897,15.75,59.7
"Sacramento, ",-121.4689,38.5556,30,1898,9.7,59.6
"Sacramento, ",-121.4689,38.5556,30,1899,22.3,59.6
"Sacramento, ",-121.4689,38.5556,30,1900,17.4,60
"Sacramento, ",-121.4689,38.5556,30,1901,18.74,60
"Sacramento, ",-121.4689,38.5556,30,1902,18.53,59.1
"Sacramento, ",-121.4689,38.5556,30,1903,15.24,59.3
"Sacramento, ",-121.4689,38.5556,30,1904,22.09,60.3
"Sacramento, ",-121.4689,38.5556,30,1905,15.39,59.7
"Sacramento, ",-121.4689,38.5556,30,1906,31.24,60.5
"Sacramento, ",-121.4689,38.5556,30,1907,20.42,59.7
"Sacramento, ",-121.4689,38.5556,30,1908,11.92,59.8
"Sacramento, ",-121.4689,38.5556,30,1909,25.47,59.6
"Sacramento, ",-121.4689,38.5556,30,1910,9.81,60
"Sacramento, ",-121.4689,38.5556,30,1911,22.74,58.3
"Sacramento, ",-121.4689,38.5556,30,1912,12.35,59.2
"Sacramento, ",-121.4689,38.5556,30,1913,14.56,60.4
"Sacramento, ",-121.4689,38.5556,30,1914,19.72,60.1
"Sacramento, ",-121.4689,38.5556,30,1915,19.93,60.5
"Sacramento, ",-121.4689,38.5556,30,1916,19.69,59.5
"Sacramento, ",-121.4689,38.5556,30,1917,9.35,60.6
"Sacramento, ",-121.4689,38.5556,30,1918,17.03,60.1
"Sacramento, ",-121.4689,38.5556,30,1919,13.44,59.4
"Sacramento, ",-121.4689,38.5556,30,1920,15.63,59.4
"Sacramento, ",-121.4689,38.5556,30,1921,14.41,60.6
"Sacramento, ",-121.4689,38.5556,30,1922,20.2,59.4
"Sacramento, ",-121.4689,38.5556,30,1923,9.35,60
"Sacramento, ",-121.4689,38.5556,30,1924,13.49,60
"Sacramento, ",-121.4689,38.5556,30,1925,14.36,60.1
"Sacramento, ",-121.4689,38.5556,30,1926,21.58,61.9
"Sacramento, ",-121.4689,38.5556,30,1927,17.9,60.2
"Sacramento, ",-121.4689,38.5556,30,1928,13.91,60.6
"Sacramento, ",-121.4689,38.5556,30,1929,9.42,60.3
"Sacramento, ",-121.4689,38.5556,30,1930,12.48,60
"Sacramento, ",-121.4689,38.5556,30,1931,16.38,61.6
